SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	December 17, 2016	December 16, 2016	December 15, 2016	December 14, 2016	December 13, 2016
Chinese Yuan		0.1073540000	0.1076310000	0.1069730000	0.1071990000
Euro		0.7787300000	0.7776650000	0.7861620000	0.7848540000
Japanese Yen		0.0063111800	0.0063441600	0.0064130900	0.0064223800
U.K. Pound Sterling		0.9272170000	0.9317200000	0.9342870000	0.9399380000
U.S. Dollar		0.7459810000	0.7463910000	0.7385960000	0.7397300000
Algerian Dinar		0.0067065100	0.0067007100	0.0066768000	0.0066806600
Australian Dollar		0.5491910000	0.5538970000	0.5533560000	0.5542800000
Bahrain Dinar		1.9839900000	1.9850800000	1.9643500000	1.9673700000
Botswana Pula		0.0691524000	0.0689665000	0.0695019000	0.0695346000
Brazilian Real		0.2205480000	0.2255160000	0.2215740000	0.2195630000
Brunei Dollar		0.5167860000	0.5194090000	0.5180580000	0.5193270000
Canadian Dollar		0.5592900000	0.5571330000	0.5628260000	0.5638190000
Chilean Peso			0.0011396300	0.0011358600	0.0011391000
Colombian Peso		0.0002486210	0.0002517710	0.0002476610	0.0002478970
Czech Koruna		0.0288224000	0.0287826000	0.0290946000	0.0290535000
Danish Krone		0.1047520000	0.1045950000	0.1057250000	0.1055340000
Hungarian Forint		0.0024984300	0.0024983800		0.0024992600
Icelandic Krona		0.0065396800	0.0065732400	0.0066010900	0.0066272200
Indian Rupee		0.0110063000	0.0110088000	0.0109324000	0.0109611000
Indonesian Rupiah		0.0000555624	0.0000558383	0.0000555962	0.0000555812
Iranian Rial			0.0000231403	0.0000229193	0.0000229537
Israeli New Sheqel		0.1937610000	0.1942210000	0.1942650000	0.1941550000
Kazakhstani Tenge			0.0022288300	0.0022297200	0.0022399800
Korean Won		0.0006321340	0.0006388690	0.0006337160	0.0006321400
Kuwaiti Dinar			2.4407800000	2.4204400000	2.4241500000
Libyan Dinar		0.5174910000	0.5174910000	0.5174910000	0.5174910000
Malaysian Ringgit		0.1666810000	0.1671840000	0.1662570000	0.1671900000
Mauritian Rupee		0.0207688000	0.0208101000	0.0205837000	0.0206091000
Mexican Peso		0.0365176000	0.0362373000	0.0365233000	0.0365178000
Nepalese Rupee		0.0068798400	0.0069110300	0.0068401200	
New Zealand Dollar		0.5241260000	0.5288930000	0.5317150000	0.5325320000
Norwegian Krone		0.0859306000	0.0864139000	0.0871356000	0.0876977000
Rial Omani		1.9401300000	1.9412000000	1.9209300000	1.9238800000
Pakistani Rupee		0.0071150200	0.0071186300	0.0070449800	0.0070560600
Nuevo Sol			0.2193330000	0.2178110000	0.2178240000
Philippine Peso			0.0149872000		0.0148472000
Polish Zloty		0.1763720000	0.1763310000	0.1768330000	0.1765250000
Qatar Riyal		0.2049400000	0.2050520000	0.2029110000	0.2032230000
Russian Ruble		0.0120804000	0.0121095000	0.0121464000	0.0121130000
Saudi Arabian Riyal		0.1989280000	0.1990380000	0.1969590000	0.1972610000
Singapore Dollar		0.5167860000	0.5194090000	0.5180580000	0.5193270000
South African Rand			0.0532585000	0.0539521000	0.0541249000
Sri Lanka Rupee		0.0050033900	0.0050198700	0.0049674400	
Swedish Krona		0.0794814000	0.0803383000	0.0805765000	0.0807601000
Swiss Franc		0.7250980000	0.7237380000	0.7312830000	0.7299490000
Thai Baht		0.0208503000	0.0208985000		0.0207883000
Trinidad And Tobago Dollar		0.1106980000	0.1105450000	0.1089910000	0.1091180000
Tunisian Dinar		0.3209350000	0.3264200000	0.3201540000	
